Country,Survey,Total,15-19,20-29,30-39,40-49
Colombia,2015 DHS,75.9,60.5,73.5,79.8,76.2
Colombia,2010 DHS,72.9,55.1,69.9,77.8,73.2
Colombia,2005 DHS,68.2,47.1,64.7,73.2,69.2
Colombia,2000 DHS,64,45,60.8,69.7,63.8
Colombia,1995 DHS,59.3,36.7,53.7,67.1,60.7
Colombia,1990 DHS,54.6,31.9,51.9,63,50.7
Colombia,1986 DHS,52.4,21.2,53.9,59.8,44.9
India,2005-06 DHS,48.5,6.9,37.8,62.4,60
India,1998-99 DHS,42.8,4.7,32.9,58.3,56.7
India,1992-93 DHS,36.5,4,27.3,53,48
Indonesia,2012 DHS,57.9,47.6,60,62.2,51.4
Indonesia,2007 DHS,57.4,46.2,60.4,63.9,47
Indonesia,2002-03 DHS,56.7,46.8,60.8,61.8,46.7
Indonesia,1997 DHS,54.7,44.3,59.9,58.9,43
Indonesia,1994 DHS,52.1,35.6,56.2,56.9,40.9
Indonesia,1991 DHS,47.1,29.1,50.4,53.9,34.9
Indonesia,1987 DHS,43.9,23.2,47.4,52.6,30.5
Kenya,2015 MIS,,,,,
Kenya,2014 DHS,53.2,36.8,54.2,58.5,45.1
Kenya,2008-09 DHS,39.4,19.6,36.2,45.6,40
Kenya,2003 DHS,31.5,12.7,27.8,38,35.4
Kenya,1998 DHS,31.5,10.1,28.7,38.2,32.2
Kenya,1993 DHS,27.3,6.1,25.1,32.5,29.1
Kenya,1989 DHS,17.9,6.7,14.7,22.5,19.7
Senegal,2016 DHS,23.1,5.5,20.8,28.4,25.6
Senegal,2015 DHS,21.2,5.5,19.6,25.6,22.4
Senegal,2014 DHS,20.3,12.3,19.3,25,17.5
Senegal,2012-13 DHS,16.1,2.8,15.4,21,14.9
Senegal,2010-11 DHS,12.1,5,10.7,14.7,13.4
Senegal,2008-09 MIS,,,,,
Senegal,2006 MIS,,,,,
Senegal,2005 DHS,10.3,4.7,8,14.1,11.6
Senegal,1997 DHS,8.1,1.5,5.8,11.6,9.4
Senegal,1992-93 DHS,4.8,0.5,3.6,6.6,5.8
Senegal,1986 DHS,2.4,0.5,1.7,4.4,1.7
